LDTS,125A0205-QIC,125A0252-UI,125A0252-UI_A50,125A0254-FI,125A0255-XI,125A0266-PIC,125A0270-TIC,125A0272-FIC_A3,125A0285-WI,125A0292-FIC_A2,125A0321-WI,125A0406-QI1,126A0125-UI,126A0164-UI,126A0159-HS,126A0013-QIC,126A0015-QI,126A0020-FIC_A30,126A0103-QI_A1,126A0103-QI_A3,126A0171-HS,126A0043-SI,126A0044-WIC,126A0045-PIC,126A0051-FIC_A3,126A0053-TIC,126A0054-FIC_A3,126A0077-QT1,126A0077-QT2,126A0079-QT,126A0081-FIC_A3,126A0116-QI,126A0118-QI,126A0129-QI,126A0174-QIC,126A0224-FIC_A3,126A0226-FIC_A3,126A0228-FIC_A3,126A0231-TIC,126A0251-QI,126A0288-PICZ,126A0299-FIC_A1,126A0317-QI_A1,126A0317-QI_A3,126A0320-PDIC,126A0545-QI1,126A0547-QIC,126A0202-PIC,126A0252-QI,126A0269-SI,126A0270-WIC,126A0271-PIC,126A0272-PIC,126A0277-FIC_A3,126A0279-TIC,126A0280-FIC_A3,126A0286-QI,126A0287-FIC_A1,126A0300-PDIC,126A0316-QI,126A0318-QI,126A0333-QI,126A0405-PIC,126A0406-FIC_A30,126A0409-FIC_A30,126A0414-TIC,126A0503-QI_A1,126A0503-QI_A3,126A0546-QI1,126A0548-QIC,126A0435-SI,126A0436-WIC,126A0443-FIC_A3,126A0446-FIC_A3,126A0450-QT1,126A0450-QT2,126A0503-QI_A2,126A0504-TIC,126A0516-QI,126A0519-QI,126A0534-QIC,126A0535-QIC,126A0466-QI
2021-08-06T21:20:41.7800000,10.0,3101.47119,2.12928081,14.0180073,1.5883621,7.79475451,,0.142580569,170.657684,2.74721646,159.50882,5.92274714,308.536285,1.0,62.3331413,9.98779202,11.5111713,14.569314,2.15199804,0.0307519659,1.0,2.93248439,199.987671,0.373432994,2.48267698,81.5927505,4.23431158,162.541733,71.7405777,2.8469243,0.301674515,15.0,9.40756321,3.24420595,8.3132391,11.5426416,3.06071281,5.04199696,77.4248962,2.188411,10.5493231,0.0,2.00498867,0.200032189,8.30560303,59.4229851,10.8768711,3.95779705,78.3368301,2.31361437,255.118362,0.360610396,0.360610396,3.45453906,73.3380966,3.91394091,10.0117311,0.523073137,1.37123239,4.14415455,12.7084398,9.9000473,8.22145939,5.17950344,0.000929713133,73.5670013,2.03078794,0.000530842284,83.6576004,5.19232464,2.5927701,417.305542,3.46831918,3.48316669,84.787796,71.5116806,1.44130003,61.6642799,0.377227485,11.8984861,5.53018618,3.12589431,90.0101776
2021-08-06T22:20:32.0530000,8.53090096,3261.99927,2.55407333,16.0210419,1.44556153,7.79933214,,0.137075111,168.852448,2.95945215,176.688416,5.97539377,349.097443,1.0,70.9640961,10.610014,12.4198275,15.775281,2.18732691,0.0190519094,1.0,2.7719698,234.142166,0.373354375,2.53573513,78.1211243,4.24592924,180.376724,77.4201202,2.74363375,0.294265658,13.6441689,10.2041368,3.10171676,8.768363,11.8533068,3.10523009,5.09318209,76.4005737,2.18921971,10.7537117,0.0,2.07127833,0.0,8.57939434,59.7138748,10.8788738,4.4220314,79.5371094,2.97570825,363.844574,0.347353369,0.347353369,3.63314819,77.8445358,3.98657489,10.2640915,0.0,1.51044488,3.58240938,11.8041592,10.1780634,8.45236015,4.69669724,0.00175098423,74.5302811,2.03742218,0.0,84.1964722,4.53399897,2.74810672,387.44812,3.54310703,3.50039458,84.8354797,71.5307541,1.43719995,62.2508316,0.0,11.7251711,5.37424898,3.40829778,89.3305664
2021-08-06T23:20:31.7430000,8.34034348,3197.75684,2.66896224,12.6777124,1.46159005,7.59256077,,0.138906226,157.18779,2.84530807,158.060654,5.89356232,340.03418,,80.2003403,10.2754412,12.8282242,16.2281361,2.13992214,0.0284713432,1.0,3.47458673,159.248459,0.363611221,2.31716514,79.3609924,4.25065374,139.866486,74.9451599,3.22174549,0.298568368,13.3650808,10.29214,3.39012885,8.73546219,11.6724586,3.04310298,5.03897524,76.7439194,2.13341689,10.5888882,0.0,2.0933466,0.0432851613,8.2813282,59.1082497,10.8822126,4.56437778,77.6185379,2.57611084,382.777313,0.352122068,0.352122068,3.41079736,77.0386276,3.81908846,10.107296,0.864916623,1.53544831,2.41660523,11.9852619,9.87381935,8.16137314,5.34406137,0.0,74.5302811,2.02688551,0.0,83.9246521,4.55917311,2.67291474,407.182983,3.53373408,3.49318051,84.8354797,71.9551697,1.45439994,62.6609421,0.00155267771,11.7584286,5.2466383,2.99628043,89.3267975
2021-08-07T00:20:41.6870000,8.68927002,3095.22168,2.55807543,13.5198631,1.75403857,7.74973774,,0.13595219,170.935425,3.07415199,180.259216,5.90443516,318.331665,,72.6945724,10.7744398,12.5817757,16.040329,2.10115814,0.0284713432,1.0,3.16413832,222.240097,0.38019073,2.3160975,79.084404,4.30551195,188.769669,76.3996201,2.76452088,0.291997433,15.0,9.86604023,3.00472116,8.76353073,11.7467718,3.05054832,4.97994423,77.0643768,2.2236371,11.1720877,0.0,2.01726222,0.0,8.8560009,59.823555,10.895565,4.8845973,77.6512299,2.44261146,321.653717,0.362279445,0.362279445,3.38041306,76.8192673,3.92623901,9.84463501,1.27722752,1.38479626,3.64104223,12.6647892,9.69284725,8.048069,5.40376329,0.000875560567,74.4492111,2.10034728,0.0,83.2808762,4.59062576,2.64770055,419.068481,3.64767599,3.72167444,83.9771118,71.1969452,1.44649994,62.6180229,0.377319843,12.1462297,5.32560825,3.10271835,88.8466644
2021-08-07T01:20:31.9270000,8.46266079,3185.40381,2.54102731,13.5526361,1.66734099,7.75202656,,0.134465173,177.005814,2.91114998,172.363754,5.97310448,332.328217,1.0,73.6659927,10.7027178,12.88589,16.4750977,2.12530708,0.0476797372,1.0,3.09727621,213.388535,0.380335003,2.31232452,79.2560806,4.33692837,172.031479,76.9813995,2.74105883,0.295707792,12.8793211,10.3301296,2.96566534,8.72271633,11.8602858,3.11113739,4.99257612,77.0987167,2.21961188,11.0241213,0.0,2.04889941,0.00760831265,8.87419415,59.6804962,10.9042435,4.42775393,77.5160751,2.59524655,353.708313,0.338674307,0.338674307,3.38754439,75.6413879,4.02502728,10.0151644,1.05870509,1.50886607,2.86519885,12.1650801,9.89899826,8.26180267,5.36773252,0.0,73.5002365,2.10166097,0.0,84.7210312,4.46900845,2.759588,411.669464,3.60292888,3.52250767,84.5493546,72.1936111,1.472,62.3843575,0.559028268,11.8131819,5.20972824,3.13161659,89.3201065
2021-08-07T02:20:51.2670000,8.28712463,3064.6084,2.58238387,13.4828691,1.78272486,7.54067707,,0.131121695,176.886795,3.07039428,171.490891,5.95135927,332.333832,1.0,74.996254,10.5772057,12.587698,16.1567669,2.12703872,0.0476797372,1.0,3.18237376,204.527313,0.374586612,2.27446103,79.0557938,4.4294672,180.472107,76.4663773,2.73075819,0.305061251,13.6848803,10.1064844,2.9557941,8.67066383,12.0230474,3.159024,5.04968739,77.2360535,2.17080164,10.9540739,0.0,2.14806128,0.0,8.65458107,59.3466835,10.9175959,4.2579875,78.0544586,2.53941536,366.789246,0.329566032,0.329566032,3.37746048,75.6509247,3.82745385,9.98340511,1.31071603,1.46114099,2.48429656,12.2050533,9.84864044,8.19141674,5.10872364,0.00116732821,74.4635162,2.0967164,0.0,84.1440125,4.54068661,2.82127237,404.07843,3.56844211,3.54783154,82.6418686,71.7978058,1.48029995,62.2937508,0.665806651,11.994092,5.20572281,3.04778266,89.4909515
2021-08-07T03:20:41.6270000,8.40643787,3075.00659,2.53501964,13.5960522,1.86164331,7.67343807,,0.131835476,172.006683,2.97647452,165.837097,6.0446353,331.142303,1.0,74.8848343,10.6046734,12.8089762,16.4998302,2.15962243,0.0303299539,1.0,3.20173454,189.870697,0.373947173,2.28472996,79.1940842,4.42640543,181.831192,76.9575577,2.69499302,0.294688731,14.543849,9.9444561,2.89914155,8.79464912,12.2932606,3.29424715,4.94127417,76.9957123,2.17180085,11.0019159,0.0,2.06243038,0.00205662125,8.74848461,59.608963,10.9296131,4.58392954,77.7759781,2.57948756,355.730621,0.376061052,0.376061052,3.38841844,77.8397675,3.92849445,9.98569393,1.38253617,1.41830397,2.66346264,12.7111206,9.89690018,8.33648109,5.22334194,0.0017512656,74.086792,2.11011291,0.0,84.0677109,4.59267998,2.76701736,402.252899,3.50241637,3.48537397,82.4511185,72.1411514,1.48699999,62.3414383,0.305969685,12.4492159,5.10672426,3.06723905,89.0060883
2021-08-07T04:20:21.7270000,8.19356251,3124.03369,2.47404552,13.5641603,1.8339324,7.98931789,,0.139804676,174.248352,3.0152595,165.757751,6.12989998,331.189453,1.0,75.1791458,10.4722939,12.9958782,16.7542572,2.15790391,0.0303299539,1.0,3.20353532,207.863632,0.375766724,2.29976678,79.3705292,4.20440054,176.227951,76.7763443,2.63662386,0.296129763,14.8634481,9.76741505,2.80472112,8.71204567,12.3207645,3.27432823,5.03919268,76.9842682,2.18766856,10.8224125,0.0,2.05549741,0.00205662125,8.653862,59.4897461,10.9322844,4.41511679,77.5857925,2.89466333,315.749786,0.363185495,0.363185495,3.26263475,75.2360535,3.94097209,9.98855495,1.30954218,1.49463546,3.67878008,11.5711699,9.97873116,8.15793991,5.23680544,0.000823963725,74.1964722,2.08694434,0.0,83.7434387,4.61276054,2.81024122,415.681732,3.45421958,3.47203708,82.9518356,71.8359528,1.47730005,62.1649971,0.300617278,12.0290089,5.33133078,3.26666689,89.0750198
2021-08-07T05:20:31.7430000,7.96394873,3422.52783,2.48011994,13.6181965,1.66204596,7.6658082,,0.142328843,173.772247,2.9407568,171.371872,5.93075848,328.736237,,76.4202957,10.6523609,12.9343462,16.6437416,2.11621928,0.00887083355,1.0,3.4808898,185.565338,0.379052222,2.11644125,79.1464005,4.39731646,172.031479,76.1945648,2.70329046,0.314175963,15.0,10.0312529,2.78111601,8.79082966,12.4220734,3.29995084,4.9642458,77.0815506,2.27232146,10.7273273,0.0,2.05960345,0.0,8.44712543,59.2942276,10.9402952,4.37696743,77.8974075,2.81992173,315.301483,0.358416796,0.358416796,3.22785401,75.2312775,3.99201083,9.97224617,1.38480639,1.41772509,2.66125226,11.969243,9.95565033,8.14163113,5.17018652,0.00109865842,73.6099167,2.1298635,0.0,84.2823029,4.72797966,2.71929049,389.714661,3.50299644,3.44408536,81.1635666,71.7691956,1.51180005,62.188839,0.402394086,12.2388439,5.37596607,3.22374821,89.4051208
2021-08-07T06:20:41.2970000,7.99227476,3349.10449,2.69178772,13.6147337,1.67032242,7.69785404,,0.134480223,174.486404,3.02936625,166.868668,5.93991423,313.614441,,71.1889877,10.5909395,12.6498833,16.3960152,2.16167092,0.0176833626,1.0,3.38205981,189.06839,0.374288499,2.11215591,79.217926,4.27219963,173.819748,75.5412445,2.76824045,0.299688369,15.0,9.68915558,2.85493565,8.77693653,12.3827753,3.38447523,4.95829535,77.0357666,2.22650743,10.7904072,0.0,2.02277589,0.0,8.62893963,59.4420586,10.9456367,4.20982361,78.3190308,2.84986329,351.548706,0.330233663,0.330233663,3.19304991,75.1311417,3.66270161,9.87324715,1.49726057,1.47214246,2.7205236,11.8875961,9.88431072,8.15279007,4.98920536,0.00137320778,74.2966156,2.11314297,0.0,84.1678543,4.93946791,2.81226754,405.402191,3.46978283,3.46683764,80.8774414,72.0743866,1.50160003,62.3319016,0.86662513,12.0619402,5.32703876,3.23919892,89.0816879
2021-08-07T07:20:31.4870000,7.98068666,3453.41943,2.69567037,13.6948633,1.75810587,7.79933214,,0.123541929,172.086029,2.99055934,170.280777,6.03319073,312.676971,,68.415863,10.5966616,12.3762894,16.0852299,2.13506246,0.0223121941,1.0,3.53964758,187.375946,0.382344544,2.00001836,79.4039078,4.44996691,185.336197,75.875061,2.6792562,0.294780314,13.3858757,9.74529648,2.74849796,8.74237919,12.5717611,3.37782001,5.0058136,77.0186005,2.15415573,10.8061171,0.0,2.1058712,0.0,8.56237602,59.5278969,10.9496422,4.23581314,78.4458771,2.79448247,335.273041,0.367000461,0.367000461,3.20015192,75.1215973,3.88431478,9.95507908,1.41964269,1.4011122,3.21958828,12.0241938,9.92837334,8.15965652,4.97746229,0.0,73.5288467,2.10389423,0.0,83.9961853,4.83786154,2.75666118,378.58139,3.42553163,3.46369267,81.9742508,71.8025742,1.51129997,62.4415817,0.595540106,12.213151,5.34477854,3.31015754,88.6486053
2021-08-07T08:20:31.4000000,7.96824026,3496.37573,2.61838269,13.4900103,1.71837676,7.77567959,88.0,0.135875523,160.996658,3.09801841,175.260071,6.23691034,312.531952,1.0,67.730545,10.548975,12.6822023,16.438942,2.15306115,0.0223121941,1.0,3.46468091,190.859253,0.377963156,1.99941337,79.3896027,4.22061729,181.473541,75.8989029,2.75450659,0.300746262,13.53479,9.65480328,2.83133054,8.72789192,12.544426,3.40077853,5.06464767,76.909874,2.21703601,10.7342272,0.0,2.06587338,0.0,8.5517807,59.2703857,10.9469719,4.4718647,78.1141586,2.70398211,352.819763,0.336146861,0.336146861,3.21821332,74.8164063,3.73004508,9.90186024,1.50329518,1.38944316,2.63433337,12.2939291,9.88693333,8.17253208,5.07218599,0.00192253944,74.124939,2.09743714,0.0,83.8960419,4.91763878,2.84558582,376.09726,3.44028974,3.45005774,80.6151657,72.2794418,1.5187,62.742012,0.628656983,12.1981726,5.35679579,3.223176,88.6493301
2021-08-07T09:20:21.7030000,8.10643768,3343.31445,2.72756243,13.5500641,1.91623604,7.76270866,88.0,0.132325307,181.33046,2.99914265,174.129318,5.87238932,311.65918,1.0,64.1269379,10.5539341,12.4710121,16.2013454,2.11258769,0.0301084332,1.0,3.43654013,188.058502,0.37457943,1.99497974,79.2417755,4.38591242,173.319031,75.7892227,2.82546496,0.285959512,14.1726761,9.48168087,2.87725329,8.76505089,12.6121416,3.37192297,4.97862816,77.1216049,2.20958161,10.8366327,0.0,2.11386943,0.0,8.64407349,59.1082497,10.9409628,4.54339552,77.9294434,2.8201468,349.18692,0.374821156,0.374821156,3.21135426,75.6366196,3.7835381,9.95679569,1.49288225,1.39550853,2.91096497,12.0823135,9.94306183,8.14163113,5.06166744,0.00164791546,74.0963287,2.11383247,0.0,83.8865051,4.89797592,2.76701736,389.083557,3.43061495,3.43439102,81.9265594,71.6261292,1.43509996,62.4749641,0.299343079,11.8215876,5.38397741,3.37196016,88.6032715
2021-08-07T10:20:32.1130000,8.03175926,3534.2854,2.72865534,13.5722017,1.90783429,7.66504526,88.0,0.132539704,177.898514,2.9814105,170.677536,5.99084425,312.489105,1.0,60.9640465,10.5760612,12.2774858,16.0039196,2.13229775,0.0301084332,1.0,3.52771616,181.709976,0.379734308,2.00155282,79.260849,4.22099304,185.431564,75.8416748,2.75937057,0.294741124,14.2790976,9.57744503,2.77424884,8.79004955,12.8220053,3.36445141,4.9887352,77.0586548,2.18291521,10.7304802,0.0,2.08022451,0.0,8.5206213,59.1320915,10.9296131,4.43514538,78.7617188,2.78592777,318.842194,0.346685737,0.346685737,3.20930409,74.6399612,3.7466116,9.94649506,1.52309096,1.36832094,2.7729969,12.2062054,9.9273243,8.17167377,4.83195019,0.000274663791,74.0677109,2.10508323,0.0,83.776825,4.88106489,2.8082149,395.518982,3.46608829,3.42275,80.1859818,71.9742508,1.42770004,62.6514053,0.48947525,12.346096,5.3793993,3.369385,88.6805954
2021-08-07T11:20:42.0330000,8.05407715,3264.7981,2.8027246,13.4470358,2.12635469,7.97329521,88.0,0.138835862,173.355652,2.99329162,168.13829,6.00400591,313.931519,1.0,58.1584206,10.5997143,12.7814903,16.540947,2.1560936,0.0180497561,1.0,3.55833316,174.889206,0.386899084,1.99618125,79.5755844,4.37056971,182.284225,75.5317078,2.79399157,0.29872787,14.6368837,9.62220383,2.8450644,8.72315407,12.8423204,3.4877274,5.020154,76.9384842,2.18215132,10.6691313,0.0,2.08229518,0.00753028179,8.48425865,58.8602753,10.928278,4.4597044,78.1266937,2.82802629,325.698425,0.343156874,0.343156874,3.19811606,75.0357666,3.70780778,9.92761135,1.58826709,1.3608427,2.83954334,11.6522264,9.92417717,8.20858383,4.94179392,0.0,74.0295639,2.0977807,0.0,83.6242218,4.90549135,2.56417918,410.689331,3.49108887,3.49983144,79.5422058,71.788269,1.43429995,62.4272766,0.130551934,12.4147015,5.23948526,3.37854099,89.1138687
